diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
SWEET MIX XL,Skywalker OG Runtz XL Auto,Sweet Seeds,1000 watt,"BioBizz,",True,Manual,"Soil Grow Medium,Coco Coir Grow Medium,Vermiculite Grow Medium,",,"Topping,",0.33,9,2,80,
Vanilla Latte AUTO,Vanilla Latte Autoflower,Humboldt Seed Company,315 watt,"Growth Technology,Real Growers,Fish Head Farms,FloraFlex,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,",0.84,13,1,,
BlueDream x White Widow-FruitLoops Auto,Dankseedsusa,Custom Breeder & Strain,400 watt,"Cold War Organics,Botanicare,Advanced Nutrients,Greenleaf Nutrients,Cronk Nutrients,",True,Manual,"Coco Coir Grow Medium,",,"LST,Defoliation,Topping,",1.83,10,2,,86.7
White widow automatic RQS,White Widow Automatic,Royal Queen Seeds,252 watt,"RQS Organic Nutrients,BioBizz,",True,Manual,,Peat Pellet,"Defoliation,LST,",1,16,1,52,180
Berrie Cake auto,Fox genetic berrie Cake auto,Custom Breeder & Strain,"LED / 300W SE3000,","Real Growers,",True,Manual,"CoolGrows GT 48x48x80,Soil Grow Medium,",Paper Towel,"Defoliation,",0.91,10,1,,
Bruce Cookies,Bruce Cookies,Original Sensible Seeds,100 watt,"BioBizz,Bio Nova,Hesi,Jungle indabox,Advanced Hydroponics of Holland,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,0.36,13,,,
Mango Haze + Amanita Muscaria,Mango Haze,Mr.Nice,,,True,Manual,"Soil Grow Medium,",,,,18,1,,
Gorilla Cookies,Gorilla Cookies Auto,Fast Buds,240 watt,"CannaBioGen,Advanced Nutrients,Grotek,",True,Manual,"Soil Grow Medium,",Paper Towel,,40,10,1,,296
Hi brother,Cookies and Cream Fem,Seedstockers,,,True,Manual,"Soil Grow Medium,",,"LST,Topping,ScrOG,Defoliation,",,18,,,
First indoor Autoflower grow! :),White Widow Autoflower,ILGM,400 watt,"Fox Farm,Humboldts Secret,",True,Manual,"Soil Grow Medium,",,"LST,Defoliation,",,11,3,,12
Mimosa Automatic,Mimosa Automatic,Royal Queen Seeds,300 watt,"Green Buzz Nutrients,Advanced Nutrients,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,1,12,1,80,540
Sweet Gelato Auto,Sweet Gelato Auto®,Sweet Seeds,480 watt,"Green Buzz Nutrients,PLAGRON.,Advanced Nutrients,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Directly In Substrate,"LST,Topping,Defoliation,",1,9,1,,420
Pink Rozay Auto,Pink Rozay Automatic,Zamnesia Seeds,480 watt,"Green Buzz Nutrients,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Topping,Defoliation,",1,10,1,75,450
Dynomyco Autopot Living Soil,Californian Snow Auto,Fast Buds,245 watt,,True,Hydroponics,"Soil Grow Medium,",Glass Of Water,,2,10,2,,
